,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email: ,marketing@dyllu.com,,TeL: 0086 512 6569 0317;  Mobile phone: 0086 18061927935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Qty should be multiple of Basic Qty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTE345076,,,Cable ties,"Color:White
Material: Nylon 66
Length:450mm
Width:7.6mm
100pcs/set
two year warranty
Packed by label",SET,148 MDL,,400,40,0.00,0.000,0.00,Label,0.073,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTE350090,,,Cable ties,"Color:White
Material: Nylon 66
Length:500mm
Width:9mm
100pcs/set
two year warranty
Packed by label",SET,218 MDL,,220,22,0.00,0.000,0.00,Label,0.073,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTE355090,,,Cable ties,"Color:White
Material: Nylon 66
Length:550mm
Width:9mm
100pcs/set
two year warranty
Packed by label",SET,248 MDL,,200,20,0.00,0.000,0.00,Label,0.073,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTE360090,,,Cable ties,"Color:White
Material: Nylon 66
Length:600mm
Width:9mm
100pcs/set
two year warranty
Packed by label",SET,265 MDL,,160,16,0.00,0.000,0.00,Label,0.073,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTE372090,,,Cable ties,"Color:White
Material: Nylon 66
Length:720mm
Width:9mm
100pcs/set
two year warranty
Packed by label",SET,329 MDL,,120,12,0.00,0.000,0.00,Label,0.048,15.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTE376090,,,Cable ties,"Color:White
Material: Nylon 66
Length:760mm
Width:9mm
100pcs/set
two year warranty
Packed by label",SET,347 MDL,,100,10,0.00,0.000,0.00,Label,0.048,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTE380090,,,Cable ties,"Color:White
Material: Nylon 66
Length:800mm
Width:9mm
100pcs/set
two year warranty
Packed by label",SET,365 MDL,,100,10,0.00,0.000,0.00,Label,0.048,14.50,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB510025,,,Cable ties,"Color:Black
Material: Nylon 66
Length:100mm
Width:2.5mm
100pcs/set
two year warranty
Packed by label",SET,7 MDL,,2000,500,0.00,0.000,0.00,Label,0.066,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB515025,,,Cable ties,"Color:Black
Material: Nylon 66
Length:150mm
Width:2.5mm
100pcs/set
two year warranty
Packed by label",SET,11 MDL,,1500,300,0.00,0.000,0.00,Label,0.066,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB520036,,,Cable ties,"Color:Black
Material: Nylon 66
Length:200mm
Width:3.6mm
100pcs/set
two year warranty
Packed by label",SET,22 MDL,,1800,180,0.00,0.000,0.00,Label,0.066,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB525048,,,Cable ties,"Color:Black
Material: Nylon 66
Length:250mm
Width:4.8mm
100pcs/set
two year warranty
Packed by label",SET,40 MDL,,1400,140,0.00,0.000,0.00,Label,0.066,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB530048,,,Cable ties,"Color:Black
Material: Nylon 66
Length:300mm
Width:4.8mm
100pcs/set
two year warranty
Packed by label",SET,45 MDL,,1200,120,0.00,0.000,0.00,Label,0.066,23.00,0,0,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB535048,,,Cable ties,"Color:Black
Material: Nylon 66
Length:350mm
Width:4.8mm
100pcs/set
two year warranty
Packed by label",SET,54 MDL,,1000,100,0.00,0.000,0.00,Label,0.066,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB540072,,,Cable ties,"Color:Black
Material: Nylon 66
Length:400mm
Width:7.2mm
100pcs/set
two year warranty
Packed by label",SET,117 MDL,,400,40,0.00,0.000,0.00,Label,0.066,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB540076,,,Cable ties,"Color:Black
Material: Nylon 66
Length:400mm
Width:7.6mm
100pcs/set
two year warranty
Packed by label",SET,132 MDL,,400,40,0.00,0.000,0.00,Label,0.066,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB545076,,,Cable ties,"Color:Black
Material: Nylon 66
Length:450mm
Width:7.6mm
100pcs/set
two year warranty
Packed by label",SET,148 MDL,,400,40,0.00,0.000,0.00,Label,0.073,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB550090,,,Cable ties,"Color:Black
Material: Nylon 66
Length:500mm
Width:9mm
100pcs/set
two year warranty
Packed by label",SET,218 MDL,,220,22,0.00,0.000,0.00,Label,0.073,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB555090,,,Cable ties,"Color:Black
Material: Nylon 66
Length:550mm
Width:9mm
100pcs/set
two year warranty
Packed by label",SET,248 MDL,,200,20,0.00,0.000,0.00,Label,0.073,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB560090,,,Cable ties,"Color:Black
Material: Nylon 66
Length:600mm
Width:9mm
100pcs/set
two year warranty
Packed by label",SET,265 MDL,,160,16,0.00,0.000,0.00,Label,0.073,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB572090,,,Cable ties,"Color:Black
Material: Nylon 66
Length:720mm
Width:9mm
100pcs/set
two year warranty
Packed by label",SET,329 MDL,,120,12,0.00,0.000,0.00,Label,0.048,15.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB576090,,,Cable ties,"Color:Black
Material: Nylon 66
Length:760mm
Width:9mm
100pcs/set
two year warranty
Packed by label",SET,347 MDL,,100,10,0.00,0.000,0.00,Label,0.048,13.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTEB580090,,,Cable ties,"Color:Black
Material: Nylon 66
Length:800mm
Width:9mm
100pcs/set
two year warranty
Packed by label",SET,365 MDL,,100,10,0.00,0.000,0.00,Label,0.046,15.00,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTE85521,,,Cable ties,"Include: 200pcs/set
Material: Nylon 66
Red*25PCS,100*2.5mm
Yellow*25PCS,100*2.5mm
Blue*25PCS,100*2.5mm
Green*25PCS,100*2.5mm
Black*50PCS, 150*2.5mm
White*50PCS,200*3.6mm
Packed by label",SET,34 MDL,,700,70,0.00,0.000,0.00,Label,0.062,10.00,350,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTTE87521,,,Cable ties,"Include:  300pcs/set
Material: Nylon 66
Red*50PCS,100*2.5mm
Yellow*50PCS,100*2.5mm
Blue*50PCS,100*2.5mm
Green*50PCS,100*2.5mm
White*100PCS,200*3.6mm
Packed by label",SET,46 MDL,,500,50,0.00,0.000,0.00,Label,0.077,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTJX2K07,,,Alkaline battery,"1.5V LR03 AAA Alkaline
Nominal voltage:  1.5V
Size: AAA(LR03 )
Aluminum jacket
Expiry period:5 years
Capacity: 1300 mAh 
Packed by blister card",SET,19 MDL,,2880,240,0.00,0.000,0.00,Blister card,0.024,13.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTJX2K05,,,Alkaline battery,"1.5V LR6 AA Alkaline
Nominal voltage:1.5V
Size:  AA(LR6 )
Aluminum jacket
Expiry period:5 years
Capacity: 2900 mAh 
Packed by blister card",SET,23 MDL,,2880,160,0.00,0.000,0.00,Blister card,0.023,16.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTJU1020,,Best seller,Hand winch puller,"Lift capacity: 2T
Double rack steel gear
Cable diameter: 4.8mm
Cable length: 2.8m
Non-slip handle
Number of hooks: 2
Min hook to hook distance: 62cm
Max hook to hook distance: 1.8m
Used to pull or tighten
Ideal for moving vehicles, machines, logs and other heavy objects
Packed by color box",PCS,386 MDL,,90,6,0.00,0.000,0.00,Color box,0.035,17.00,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTJU1040,,,Hand winch puller,"Lift capacity: 4T
Double rack steel gear
Cable diameter: 5.5mm
Cable length: 3m
Non-slip handle
Number of hooks: 3
Min hook to hook distance: 70cm
Max hook to hook distance: 2m
Used to pull or tighten
Ideal for moving vehicles, machines, logs and other heavy objects
Packed by color box",PCS,611 MDL,,60,4,0.00,0.000,0.00,Color box,0.042,20.90,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTJW1101,,,Hand winch,"Pulling capacity: 1000 lbs/460kgs
Cable diameter: 4.8mm
Cable length: 8m
Gear ratio: 4.1:1
Medium carbon steel forged hook
Non-slip nylon handle
Size of mounting plate: 9cm width x 13.7cm length with fixing screw holes
Surface treatment: zinc plating
For towing boats, trailers, trucks and agriculture equipment
Packed by color box",PCS,409 MDL,,90,6,0.00,0.000,0.00,Color box,0.030,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWB3F02,,Best seller,Wheel barrow,"Two tone soft grip handle
Load (kg):120kg
Water Capacity(L) :60L
Sand Capacity(CBF):4CBF
Wheel:13"" * 3"",Solid Wheel,
L*H*A*B*C(mm) :1330*630*820*380*630
Tray with 0.8mm thickness
Handle with 1.2x32mm
Packed by bulk",PCS,635 MDL,,1,1,0.00,0.000,0.00,Bulk,0.036,13.00,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWL3302,,,Solid wheel,"MAX Load (kg):120
Wheel: 13"" ×3"",  Solid wheel
Suitable for item DTWB3F02
Packed by label",PCS,171 MDL,,1,1,0.00,0.000,0.00,Label,0.015,3.76,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWB1F02,,Best seller,Wheel barrow,"Load (kg):130
Water Capacity(L) :65;
Sand Capacity(CBF):5;
L*H*C*A*B*h (mm) :1440*550*550*830*680*230
Wheel:16""X4.00-8,Solid Wheel
Tray with 0.8mm thickness,handle with 1.2x32mm
Packed by bulk",PCS,788 MDL,,1,1,0.00,0.000,0.00,Bulk,0.028,15.10,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWL1302,,,Solid wheel,"MAX Load (kg):130
Wheel:16""X4.00-8,Solid Wheel
Suitable for item:
Suitable for item DTWB1F01 , DTWB1F02
Packed by Label",PCS,192 MDL,,1,1,0.00,0.000,0.00,Label,0.015,5.55,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWB1F01,,,Wheel barrow,"Two tone soft grip handle
Load (kg):130
Water Capacity(L) :65
Sand Capacity(CBF):5
L*H*C*A*B*h (mm) :1440*550*550*830*680*230
Wheel:16""X4.00-8,pneumatic wheel,4PR,tyre with diamond lines.
Tray with 0.8mm thickness,handle with 1.2x32mm
1900pcs/40HQ
Packed by bulk",PCS,765 MDL,,1,1,0.00,0.000,0.00,Bulk,0.028,12.50,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWL1301,,,Pneumatic wheel,"MAX Load (kg):130
Wheel:16""""X4.00-8,pneumatic wheel,4PR
Tyre with diamond lines.
Suitable for item DTWB1F01 , DTWB1F02
Packed by label",PCS,171 MDL,,1,1,0.00,0.000,0.00,Label,0.015,2.80,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWL1303,,,PU Foam wheel,"MAX Load (kg):130
Wheel:16""X4.00-8,PU Foam Wheel
Suitable for itemDTWB1F01 , DTWB1F02
Packed by Label",PCS,345 MDL,,1,1,0.00,0.000,0.00,Label,0.015,3.00,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWB5F01,,,Wheel barrow,"Load(kg):150
Water Capacity(L) :90
Sand Capacity(CBF):5
Wheel:16""X4.00-8,pneumatic wheel with bearing
4PR,tyre with diamond lines
Tray with 0.8mm thickness
Handle with 1.2x32mm
Leg with 1.2x32mm
2000pcs/40HQ
Packed by bulk""",PCS,765 MDL,,1,1,0.00,0.000,0.00,Bulk,0.034,12.15,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWB8F01,,Best seller,Wheel barrow,"Load (kg):150
Water Capacity(L) :90
Sand Capacity(CBF):6
Wheel:16""X4.00-8,pneumatic wheel with bearing
4PR,tyre with diamond lines,
L*H*C*A*B*h (mm) :1400x610x595x860x600x280mm
Tray with 0.8mm thickness
Handle with 1.2x32mm
Leg with 1.2x28mm
1200pcs/40HQ
Packed by bulk",PCS,925 MDL,,1,1,0.00,0.000,0.00,Bulk,0.054,14.00,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWL8301,,,Pneumatic wheel,"MAX Load (kg):150
Wheel:16""X4.00-8,pneumatic wheel with bearing,4PR
Tyre with diamond lines,
Suitable for item:DTWB8F01,DTWB8F03,DTWB8F03
Packed by label",PCS,200 MDL,,1,1,0.00,0.000,0.00,Label,0.015,2.70,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWB8F03,,,Wheel barrow,"Two tone soft grip handle
Load (kg):150
Water Capacity(L) :90
Sand Capacity(CBF):6
Wheel:16""X4.00-8,PU Foam Wheel with bearing
L*H*C*A*B*h (mm) :1400x610x595x860x600x280mm
Tray with 0.8mm thickness
Handle with 1.2x32mm
Leg with 1.2x28mm
1170pcs/40HQ
Packed by bulk",PCS,"1,027 MDL",,1,1,0.00,0.000,0.00,Bulk,0.054,15.80,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWL8303,,,PU foam wheel,"MAX Load (kg):150
Wheel:16""X4.00-8,PU Foam Wheel with bearing
Suitable for item :DTWB8F01,DTWB8F03
Packed by label",PCS,345 MDL,,1,1,0.00,0.000,0.00,Label,0.015,3.01,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWB5F04,,,Wheel barrow,"Load (kg):150
Water Capacity(L) :90
Sand Capacity(CBF):5
Wheel:16""X4.00-8,pneumatic wheel with bearing
4PR,tyre with diamond lines
with 2pcs wheels
Tray with 0.8mm thickness
Handle with 1.2x32mm
Leg with 1.2x28mm",PCS,"1,056 MDL",,1,1,0.00,0.000,0.00,Bulk,0.054,16.13,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWB7F01,,,Wheel barrow,"Two tone soft grip handle
Load (kg):130kg
Water Capacity(L) :75L
Sand Capacity(CBF):5CBF
Wheel:16""*4.00-8 pneumatic Wheel,
L*H*A*B*C(mm) :1500*605*900*625*510
Tray with 0.8mm thickness
Handle with 1.2x32mm
1750pcs/40HQ
Packed by bulk",PCS,983 MDL,,1,1,0.00,0.000,0.00,Bulk,0.034,13.60,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWB1315,,,Foldable platform hand truck,"Capacity :150kgs
Material: steel
Steel handle with comfortable foam
Extended size: 735*470*830mm
Folded size: 735*470*220mm
Plate size: 735*470mm
Wheel diameter and material: 100mm(PP+TPR)
N.W: 7kg
Package: 1pcs with color sticker in a carton",PCS,661 MDL,,60,1,0.00,0.000,0.00,Carton box,0.024,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWB1330,,Best seller,Foldable platform hand truck,"Capacity: 300kgs
Material: steel       
Steel handle with comfortable foam
Extended size: 910*610*870mm
Folded size: 910*610*280mm
Plate size: 910*610mm
Wheel diameter and material: 125mm (PP+TPR)
N.W: 13.3kg
Package: 1pcs with color sticker in a carton",PCS,"1,197 MDL",,40,1,0.00,0.000,0.00,Carton box,0.054,14.20,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWB2141,,,Hand trolley,"Capacity: 200kg
Frame tube thickness: 1.2x25mm
Plate thickness: 3.5mm
Wheel: 10""x3.50-4 + 2PR (pneumatic wheel)
L/W1/H/W2: 1310x550x460x220mm 
Packed by paper card",PCS,725 MDL,,1,1,0.00,0.000,0.00,Paper card,0.057,9.65,,,,"Same color items can mix into one container. For single item, order quantity ≥ basic quantity.DTWB3F02,DTWL3302,DTWB1F02,DTWL1302,DTWB1F01,DTWL1301,DTWL1303,DTWB5F01,DTWB8F01,DTWL8301,DTWB8F03,DTWL8303,DTWB5F04,DTWB7F01,DTWB2141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
